"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"FreeDSP_SmalW18";1;"LOGO";;;
2;"JP2,JP6,JP7,JP8,JP9";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";5;"Jumper_GLIFT";;;
3;"RV4,RV2,RV1,RV3";"Potentiometer_Alps_RK09L_Double_Vertical";4;"ALPS_RK09_B10K";;;
4;"J14,J12,J13";"JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical";3;"B3B-XH";;;
5;"C13,C22";"CP_Combo_D5.0mm_P2-5mm";2;"47uF/6.3";;;
6;"R98,R1,R11,R12,R18,R26,R27,R31,R42,R43,R50,R63,R64,R95,R96,R97";"R_0805_HandSoldering";16;"22k";;;
7;"R94,R73,R88,R111";"R_0805_HandSoldering";4;"1MEG";;;
8;"REF**";"Symbol_Barrel_Polarity";1;"Symbol_Barrel_Polarity";;;
9;"R38,R2,R6,R19,R20,R23,R28,R30,R32,R40,R47,R51,R55,R57,R61,R72,R83,R90,R99,R100,R101,R102,R103,R104,R105,R106";"R_0805_HandSoldering";26;"10k";;;
10;"C1,C5,C7,C10,C18,C25,C29,C34,C63,C66,C67,C68";"C_0805_HandSoldering";12;"150p";;;
11;"C2,C17,C24,C31,C37,C42,C44,C45,C50,C51,C52,C53,C60,C61,C59,C65,C70,C71";"C_0805_HandSoldering";18;"100n";;;
12;"C3,C8,C21,C32";"C_0805_HandSoldering";4;"1000PF";;;
13;"C4,C9,C23,C33";"CP_Radial_D5.0mm_P2.00mm";4;"10u/16V";;;
14;"C6,C11,C19,C26,C35";"C_0805_HandSoldering";5;"3n3";;;
15;"C12,C15,C16,C40,C43,C62";"C_0805_HandSoldering";6;"10u";;;
16;"C20";"C_0805_HandSoldering";1;"56n";;;
17;"C30,C41,C47,C49,C54,C55,C56";"C_0805_HandSoldering";7;"2.2u";;;
18;"C36,C27,C28,C57,C48";"C_0805_HandSoldering";5;"10uF/25V";;;
19;"C38,C39";"CP_Radial_D8.0mm_P5.00mm";2;"220u";;;
20;"C64";"C_0805_HandSoldering";1;"33pF";;;
21;"D2,D3";"D_SOD-123";2;"1N4148W";;;
22;"D4,D6,D7,D8";"D_SOD-123";4;"RB160M-30";;;
23;"D5";"LED_0603_HandSoldering";1;"LED_WHITE";;;
24;"FL1";"ACM9070-701-2PL-TL01";1;"ACM9070-701-2PL-TL01";;;
25;"IC1";"LQFP-48_7x7mm_Pitch0.5mm";1;"ADAU1701";;;
26;"IC2,IC3";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"24AA256";;;
27;"J1,J10";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
28;"J2,J4,J5,J6,J8";"RJ-2410N";5;"Conn_RCA";;;
29;"J3";"IDC-Header_2x05_P2.54mm_Vertical";1;"Conn_02x5_Odd_Even";;;
30;"J9";"BARREL_JACK";1;"Conn_Power_2.1mm";;;
31;"J11";"PinHeader_1x03_P2.54mm_Vertical";1;"HeaderPin_01x03";;;
32;"JP1,JP4,JP5";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";3;"Jumper_WP";;;
33;"MH1";"MountingHole_3.2mm_M3_Pad_Via";1;"MountingHole_Pad";;;
34;"Q1,Q3,Q5,Q7";"SOT-23";4;"2SC3326";;;
35;"Q2,Q13";"SOT-23";2;"AO3400A";;;
36;"Q6,Q10,Q12";"SOT-23";3;"AO3401A";;;
37;"Q8";"TO-252-2";1;"KTA1040D-Y-RTF/P";;;
38;"Q9,Q11,Q4";"SOT-23-3";3;"AO3400A";;;
39;"R3,R7,R21,R24,R33,R39,R52,R58,R60,R70,R75,R78,R79,R87,R89,R91,R48,R82";"R_0805_HandSoldering";18;"1k";;;
40;"R4,R8,R9,R13,R14,R15,R16,R17,R45,R81,R84,R85,R86,R93";"R_0805_HandSoldering";14;"100R";;;
41;"R5,R22,R35,R56,R68";"R_0805_HandSoldering";5;"680R";;;
42;"R10,R25,R41,R44,R62";"R_0805_HandSoldering";5;"47k";;;
43;"R29,R71";"R_0805_HandSoldering";2;"20k";;;
44;"R34,R36,R46";"R_0805_HandSoldering";3;"15k";;;
45;"R37";"R_0805_HandSoldering";1;"470R";;;
46;"R49";"R_0805_HandSoldering";1;"4.7k";;;
47;"R53,R77,R107,R108,R109,R110";"R_0805_HandSoldering";6;"47R";;;
48;"R54";"R_0805_HandSoldering";1;"2k2";;;
49;"R59";"R_0805_HandSoldering";1;"NOP";;;
50;"R65,R66";"R_0805_HandSoldering";2;"220R";;;
51;"R67,R74";"R_0805_HandSoldering";2;"100k";;;
52;"R69";"R_0805_HandSoldering";1;"360R";;;
53;"R76,R80,R92";"R_0805_HandSoldering";3;"0R";;;
54;"SW1,SW2";"2MS1T1B4M7QES";2;"2MS1T1B4M7QES";;;
55;"U1,U5,U3,U8";"SOIC127P600X175-8N";4;"OPA1611";;;
56;"U2";"TSSOP-20_W4.4mm";1;"SN74LV541APWR";;;
57;"U4";"SOIC127P600X175-8N";1;"OPA1652";;;
58;"U6,U7";"SOT-223-3_TabPin2";2;"AZ1117-ADJ";;;
59;"X2";"Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm";1;"3N12288G33YC";;;
60;"P1";"IDC-Header_2x05_P2.54mm_Vertical";1;"MIL-10P_Angle";;;
61;"D1,D9";"LED_0603_HandSoldering";2;"LED_RED";;;
62;"H2,H3,H4";"MountingHole_3.2mm_M3_Pad";3;"MountingHole";;;
63;"U9";"SOIC127P600X175-8N";1;"OPA1632DR";;;
64;"C46";"CP_Radial_D6.3mm_P2.50mm";1;"100u/16V";;;
65;"C14,C58";"CP_Combo_D5.0mm_P2-5mm";2;"2.2uF/16";;;
66;"J15";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Molex 1718563002";;;
67;"J16";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
68;"C69";"CP_Radial_D8.0mm_P5.00mm";1;"220u/16V";;;
69;"L1";"Inductor_1212";1;"CMI321609X100KT";;;
70;"J7";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x07_Male";;;
71;"U10";"TSOT-23-5";1;"SN74LVC1G86DBVR";;;
